vol_kind,vol_win,trend_win,target,sharpe,cagr,maxdd,vol,calmar,n
parkinson,21,150,0.2,0.6437352595843961,0.12206625568453267,-0.4139352601410846,0.20948770527009228,0.2948921424160095,6939
parkinson,42,200,0.15,0.6430809034470724,0.0928599347047172,-0.26772502447124547,0.15365056091085935,0.346848169640155,6939
parkinson,63,200,0.1,0.643048829401703,0.0659957992737914,-0.20694897915047894,0.1060974280301557,0.31889888775824227,6939
close,21,300,0.15,0.6429532757720318,0.10034587271488848,-0.27603661940607405,0.16758213913947279,0.3635237706170822,6939
close,42,150,0.1,0.6417587101683588,0.06865692942903046,-0.23744953417494907,0.11093707816132875,0.28914324750136217,6939
close,10,250,0.2,0.6405220467339808,0.12932685591347837,-0.4248688508184232,0.22613613427144746,0.3043924158345724,6939
parkinson,10,300,0.1,0.6402124804419271,0.07065626984050755,-0.22240788272751588,0.11473366438911389,0.31768779493788185,6939
close,21,200,0.15,0.6397184609070025,0.09869274512963844,-0.3122766831905137,0.16561430839975622,0.31604263283860995,6939
close,10,250,0.15,0.6390644455764344,0.10475675794864814,-0.3485369269703352,0.1774218430481806,0.30056143221106735,6939
close,63,250,0.2,0.6372896343298274,0.11562693857933048,-0.367308697509241,0.19957533908407873,0.31479499223244356,6939
close,63,150,0.1,0.6359274425073013,0.06640901827879797,-0.2332766108661397,0.10824667372675159,0.28467928281462057,6939
close,21,150,0.15,0.6359239834257587,0.09965951517611926,-0.33119427428566894,0.16880447895140013,0.30090953532052533,6939
parkinson,42,300,0.15,0.6353814183040101,0.09299879731106397,-0.27028974345316703,0.15637354714372073,0.34407075948546983,6939
parkinson,10,200,0.15,0.6348749827096489,0.09644919630238658,-0.3137131633222856,0.16305289318711155,0.3074438932717077,6939
close,10,200,0.1,0.6348673302225126,0.0753702927594766,-0.26019202568612765,0.12429044039082031,0.2896718012810914,6939
parkinson,63,300,0.1,0.6340256555525559,0.06617127003045087,-0.20694897915047916,0.10822125078517686,0.3197467815597952,6939
close,63,200,0.1,0.6328843640945513,0.06487605207894709,-0.20305168391588901,0.10619056966948763,0.3195051172578356,6939
parkinson,10,150,0.15,0.6319049557906323,0.09795329097915739,-0.33979757020459467,0.1669802311948829,0.2882695450711404,6939
parkinson,42,150,0.2,0.6318781060655478,0.11722260384429295,-0.3828725410675493,0.20535403406308375,0.3061661291181799,6939
parkinson,42,200,0.2,0.6306513520738468,0.11477161540219871,-0.3419109694964909,0.200890949863759,0.33567690317516014,6939
parkinson,63,150,0.15,0.6303985883637803,0.09146279829425907,-0.30824409552575704,0.15512247139085453,0.2967219798265897,6939
close,42,200,0.15,0.6300439844899907,0.09173656301246735,-0.2945684014552694,0.15575152567183081,0.3114270320891756,6939
close,10,300,0.1,0.6289404409440824,0.07521559537311107,-0.255745415995546,0.1254730518837854,0.2941033960679905,6939
close,21,300,0.2,0.6284701104351976,0.12243978735848993,-0.3566324199488138,0.21803173546994428,0.3433220888220518,6939
close,10,150,0.1,0.62839749623882,0.0760198148419422,-0.2726601744219206,0.12707392564488607,0.27880791539547467,6939
close,42,300,0.15,0.6271995788109491,0.09266425907720754,-0.2696058623268953,0.15846418941586993,0.34370268612650845,6939
close,63,300,0.1,0.6268403774389557,0.06537364734803353,-0.20305168391588857,0.10830713314591485,0.3219557015597747,6939
parkinson,10,200,0.2,0.6256814361284536,0.11925086851731681,-0.40254412758866476,0.21268676229614256,0.29624297150143,6939
close,21,200,0.2,0.625023775030472,0.12033706537044186,-0.3966466787960746,0.21537268761121037,0.303386040532839,6939
parkinson,63,200,0.15,0.6241560162000184,0.08866808123131076,-0.29398138234242455,0.15183750216663153,0.30161121267207214,6939
